Latitude,Longitude,Elevation
43.24490000,-79.9655100,140.0
43.24492000,-79.9655500,140.0
43.24495000,-79.9655800,140.0
43.24496000,-79.9656200,141.0
43.24496000,-79.9656700,141.0
43.24493000,-79.9657100,141.0
43.24490000,-79.9657500,141.0
43.24488000,-79.9657800,141.0
43.24486000,-79.9658300,140.0
43.24484000,-79.9658700,140.0
43.24482000,-79.9659100,140.0
43.24479000,-79.9659500,140.0
43.24479000,-79.9659800,140.0
43.24478000,-79.9660200,140.0
43.24476000,-79.9660700,141.0
43.24474000,-79.9661100,141.0
43.24471000,-79.9661500,140.0
43.24468000,-79.9661800,140.0
43.24466000,-79.9662200,140.0
43.24464000,-79.9662600,140.0
43.24462000,-79.9662900,140.0
43.24461000,-79.9663400,140.0
43.24460000,-79.9663800,140.0
43.24460000,-79.9664300,140.0
43.24459000,-79.9664900,140.0
43.24459000,-79.9665200,140.0
43.24459000,-79.9665600,140.0
43.24459000,-79.9666100,140.0
43.24459000,-79.9666500,140.0
43.24460000,-79.9666900,140.0
43.24462000,-79.9667200,140.0
43.24463000,-79.9667500,140.0
43.24466000,-79.9668000,141.0
43.24467000,-79.9668300,141.0
43.24469000,-79.9668600,141.0
43.24472000,-79.9668900,141.0
43.24474000,-79.9669200,142.0
43.24476000,-79.9669600,142.0
43.24477000,-79.9670000,142.0
43.24479000,-79.9670300,142.0
43.24480000,-79.9670600,142.0
43.24482000,-79.9671000,142.0
43.24484000,-79.9671400,142.0
43.24485000,-79.9671800,142.0
43.24487000,-79.9672200,143.0
43.24488000,-79.9672700,143.0
43.24489000,-79.9673200,143.0
43.24490000,-79.9673800,143.0
43.24490000,-79.9674200,143.0
43.24491000,-79.9674600,143.0
43.24491000,-79.9675000,143.0
43.24491000,-79.9675300,143.0
43.24492000,-79.9675800,143.0
43.24492000,-79.9676100,143.0
43.24492000,-79.9676600,143.0
43.24492000,-79.9677000,143.0
43.24492000,-79.9677500,143.0
43.24492000,-79.9677900,143.0
43.24491000,-79.9678300,143.0
43.24491000,-79.9678600,143.0
43.24490000,-79.9679000,143.0
43.24488000,-79.9679500,143.0
43.24486000,-79.9680000,143.0
43.24484000,-79.9680500,143.0
43.24482000,-79.9680800,143.0
43.24480000,-79.9681000,143.0
43.24478000,-79.9681400,144.0
43.24476000,-79.9681700,144.0
43.24474000,-79.9682200,144.0
43.24472000,-79.9682700,144.0
43.24470000,-79.9683100,145.0
43.24469000,-79.9683600,145.0
43.24467000,-79.9683900,145.0
43.24466000,-79.9684300,145.0
43.24465000,-79.9684800,146.0
43.24464000,-79.9685300,146.0
43.24463000,-79.9685800,146.0
43.24461000,-79.9686300,146.0
43.24460000,-79.9686700,146.0
43.24459000,-79.9687000,146.0
43.24457000,-79.9687500,146.0
43.24455000,-79.9687900,146.0
43.24454000,-79.9688200,146.0
43.24450000,-79.9688500,146.0
43.24448000,-79.9688800,146.0
43.24447000,-79.9689200,146.0
43.24444000,-79.9689600,146.0
43.24442000,-79.9689900,146.0
43.24440000,-79.9690200,146.0
43.24438000,-79.9690600,146.0
43.24436000,-79.9691000,146.0
43.24434000,-79.9691300,146.0
43.24432000,-79.9691600,146.0
43.24431000,-79.9691900,146.0
43.24428000,-79.9692300,146.0
43.24425000,-79.9692600,146.0
43.24422000,-79.9692900,146.0
43.24420000,-79.9693300,146.0
43.24418000,-79.9693600,146.0
43.24415000,-79.9694000,146.0
43.24413000,-79.9694400,147.0
43.24412000,-79.9694800,147.0
43.24410000,-79.9695200,147.0
43.24409000,-79.9695700,147.0
43.24408000,-79.9696100,147.0
43.24408000,-79.9696500,147.0
43.24408000,-79.9697000,147.0
43.24408000,-79.9697500,148.0
43.24408000,-79.9698000,148.0
43.24408000,-79.9698500,148.0
43.24409000,-79.9699000,148.0
43.24410000,-79.9699400,148.0
43.24411000,-79.9699800,148.0
43.24413000,-79.9700300,148.0
43.24414000,-79.9700700,148.0
43.24416000,-79.9701100,148.0
43.24417000,-79.9701500,148.0
43.24418000,-79.9701900,148.0
43.24419000,-79.9702300,148.0
43.24420000,-79.9702700,148.0
43.24420000,-79.9703100,148.0
43.24421000,-79.9703600,148.0
43.24421000,-79.9704000,149.0
43.24422000,-79.9704400,149.0
43.24422000,-79.9704800,149.0
43.24421000,-79.9705300,149.0
43.24418000,-79.9705800,150.0
43.24415000,-79.9705900,150.0
43.24411000,-79.9705900,150.0
43.24407000,-79.9705800,150.0
43.24404000,-79.9705500,149.0
43.24402000,-79.9705100,149.0
43.24398000,-79.9704800,149.0
43.24396000,-79.9704700,149.0
43.24393000,-79.9704500,149.0
43.24391000,-79.9704300,149.0
43.24388000,-79.9704100,149.0
43.24385000,-79.9703800,149.0
43.24383000,-79.9703400,149.0
43.24379000,-79.9703200,149.0
43.24376000,-79.9703000,149.0
43.24374000,-79.9702900,150.0
43.24371000,-79.9702700,150.0
43.24367000,-79.9702500,150.0
43.24364000,-79.9702400,150.0
43.24361000,-79.9702200,150.0
43.24357000,-79.9702100,151.0
43.24354000,-79.9702200,151.0
43.24351000,-79.9702600,151.0
43.24350000,-79.9703000,151.0
43.24348000,-79.9703400,151.0
43.24346000,-79.9703800,152.0
43.24344000,-79.9704200,152.0
43.24343000,-79.9704600,152.0
43.24341000,-79.9705000,152.0
43.24340000,-79.9705400,152.0
43.24338000,-79.9705900,152.0
